description,disease
"diarrhea, dehydration, abdominal cramps",Gastroenteritis
"headache, loss of appetite",Chickenpox
"rash, flaky patches, itchy skin with redness, burning sensation",Fungal Infection
"loss of appetite, headache, weakness and fatigue, fever for 1 days",Typhoid
"flaky patches, rash",Fungal Infection
"frequent urge to urinate, painful urination, lower abdominal pain, cloudy urine",UTI
"fever for 4 days, headache, weakness and fatigue",Typhoid
"rash, burning sensation, itchy skin with redness",Fungal Infection
"cough, nasal congestion, sore throat",Common Cold
"vomiting, diarrhea",Gastroenteritis
"diarrhea, dehydration, vomiting",Gastroenteritis
"burning sensation, itchy skin with redness",Fungal Infection
"nausea, body aches, high fever with chills, sweating",Malaria
"headache, weakness and fatigue",Typhoid
"runny nose, sneezing and itchy eyes, skin hives",Allergy
"fever for 2 days, weakness and fatigue",Typhoid
"rash, itchy skin with redness, burning sensation",Fungal Infection
"lower abdominal pain, frequent urge to urinate, painful urination",UTI
"itchy blister rash, fever and tiredness",Chickenpox
"burning sensation, itchy skin with redness, rash, flaky patches",Fungal Infection
"throbbing headache, visual disturbances",Migraine
"headache, loss of appetite",Chickenpox
"throbbing headache, nausea, visual disturbances, sensitivity to light",Migraine
"chest pain, heartburn after meals, difficulty swallowing, acid reflux",GERD
"frequent urge to urinate, cloudy urine, painful urination",UTI
"loss of appetite, headache, fever for 4 days",Typhoid
"frequent urge to urinate, lower abdominal pain, painful urination, cloudy urine",UTI
"sweating, body aches, nausea",Malaria
"itchy skin with redness, flaky patches",Fungal Infection
"high fever with chills, body aches, nausea, sweating",Malaria
"headache, loss of appetite, fever for 2 days",Typhoid
"lower abdominal pain, painful urination, cloudy urine, frequent urge to urinate",UTI
"cloudy urine, frequent urge to urinate",UTI
"nasal congestion, sneezing and runny nose",Common Cold
"nasal congestion, sneezing and itchy eyes",Allergy
"difficulty swallowing, chest pain, acid reflux",GERD
"heartburn after meals, chest pain, acid reflux",GERD
"nausea, body aches",Malaria
"loss of appetite, fever and tiredness",Chickenpox
"nasal congestion, skin hives",Allergy
"body aches, nausea, sweating, high fever with chills",Malaria
"skin hives, nasal congestion, sneezing and itchy eyes, runny nose",Allergy
"headache, loss of appetite, weakness and fatigue",Typhoid
"nasal congestion, sore throat, sneezing and runny nose, cough",Common Cold
"weakness and fatigue, headache",Typhoid
"lower abdominal pain, frequent urge to urinate, painful urination, cloudy urine",UTI
"fever and tiredness, itchy blister rash",Chickenpox
"dehydration, diarrhea, abdominal cramps",Gastroenteritis
"acid reflux, chest pain, difficulty swallowing",GERD
"acid reflux, chest pain",GERD
"cloudy urine, painful urination, frequent urge to urinate",UTI
"body aches, high fever with chills",Malaria
"loss of appetite, fever and tiredness, itchy blister rash",Chickenpox
"vomiting, diarrhea, abdominal cramps, dehydration",Gastroenteritis
"headache, itchy blister rash, loss of appetite, fever and tiredness",Chickenpox
"fever and tiredness, loss of appetite",Chickenpox
"burning sensation, rash, flaky patches, itchy skin with redness",Fungal Infection
"itchy skin with redness, flaky patches",Fungal Infection
"sweating, nausea, body aches, high fever with chills",Malaria
"sensitivity to light, throbbing headache",Migraine
"difficulty swallowing, acid reflux, chest pain, heartburn after meals",GERD
"abdominal cramps, dehydration, vomiting",Gastroenteritis
"flaky patches, burning sensation, itchy skin with redness",Fungal Infection
"vomiting, diarrhea",Gastroenteritis
"loss of appetite, itchy blister rash, headache, fever and tiredness",Chickenpox
"burning sensation, itchy skin with redness, flaky patches, rash",Fungal Infection
"nausea, sweating",Malaria
"headache, fever for 3 days, weakness and fatigue",Typhoid
"fever and tiredness, loss of appetite",Chickenpox
"nasal congestion, sneezing and itchy eyes, skin hives, runny nose",Allergy
"cloudy urine, lower abdominal pain, frequent urge to urinate",UTI
"sweating, high fever with chills",Malaria
"itchy blister rash, headache, fever and tiredness, loss of appetite",Chickenpox
"nasal congestion, sneezing and runny nose, sore throat, cough",Common Cold
"visual disturbances, sensitivity to light",Migraine
"headache, loss of appetite, weakness and fatigue, fever for 4 days",Typhoid
"rash, flaky patches, itchy skin with redness",Fungal Infection
"runny nose, sneezing and itchy eyes, skin hives, nasal congestion",Allergy
"abdominal cramps, vomiting, dehydration",Gastroenteritis
"heartburn after meals, chest pain, difficulty swallowing",GERD
"diarrhea, vomiting",Gastroenteritis
"rash, itchy skin with redness",Fungal Infection
"weakness and fatigue, headache",Typhoid
"loss of appetite, headache, weakness and fatigue",Typhoid
"headache, fever for 1 days",Typhoid
"chest pain, acid reflux, difficulty swallowing",GERD
"lower abdominal pain, frequent urge to urinate",UTI
"sensitivity to light, visual disturbances, throbbing headache, nausea",Migraine
"body aches, sweating, high fever with chills, nausea",Malaria
"flaky patches, rash, burning sensation",Fungal Infection
"abdominal cramps, diarrhea, vomiting",Gastroenteritis
"sensitivity to light, visual disturbances, nausea",Migraine
"fever for 4 days, headache, loss of appetite, weakness and fatigue",Typhoid
"lower abdominal pain, frequent urge to urinate, cloudy urine",UTI
"skin hives, sneezing and itchy eyes, runny nose",Allergy
"sneezing and runny nose, nasal congestion",Common Cold
"nausea, high fever with chills",Malaria
"throbbing headache, nausea",Migraine
"painful urination, frequent urge to urinate, lower abdominal pain",UTI
"itchy skin with redness, rash",Fungal Infection
"cloudy urine, painful urination, lower abdominal pain, frequent urge to urinate",UTI
"visual disturbances, throbbing headache, nausea, sensitivity to light",Migraine
"nausea, sweating, body aches",Malaria
"loss of appetite, headache, weakness and fatigue, fever for 2 days",Typhoid
"nausea, sensitivity to light, throbbing headache, visual disturbances",Migraine
"headache, fever and tiredness, loss of appetite",Chickenpox
"weakness and fatigue, headache, fever for 1 days",Typhoid
"headache, weakness and fatigue",Typhoid
"headache, loss of appetite, fever and tiredness, itchy blister rash",Chickenpox
"high fever with chills, nausea, body aches",Malaria
"throbbing headache, visual disturbances, sensitivity to light",Migraine
"heartburn after meals, chest pain, difficulty swallowing, acid reflux",GERD
"weakness and fatigue, headache",Typhoid
"cough, sneezing and runny nose",Common Cold
"dehydration, vomiting",Gastroenteritis
"frequent urge to urinate, painful urination, cloudy urine",UTI
"fever and tiredness, loss of appetite, headache, itchy blister rash",Chickenpox
"cloudy urine, lower abdominal pain, painful urination",UTI
"nasal congestion, sneezing and itchy eyes",Allergy
"diarrhea, abdominal cramps, vomiting",Gastroenteritis
"burning sensation, itchy skin with redness, flaky patches, rash",Fungal Infection
"nasal congestion, sore throat",Common Cold
"sweating, high fever with chills, nausea, body aches",Malaria
"runny nose, skin hives, nasal congestion, sneezing and itchy eyes",Allergy
"cloudy urine, painful urination, lower abdominal pain",UTI
"diarrhea, abdominal cramps, vomiting, dehydration",Gastroenteritis
"cough, sore throat, sneezing and runny nose",Common Cold
"visual disturbances, sensitivity to light, throbbing headache, nausea",Migraine
"headache, itchy blister rash",Chickenpox
"dehydration, vomiting, abdominal cramps",Gastroenteritis
"rash, burning sensation, flaky patches",Fungal Infection
"acid reflux, heartburn after meals",GERD
"sneezing and runny nose, cough",Common Cold
"nausea, body aches, high fever with chills",Malaria
"headache, itchy blister rash, fever and tiredness, loss of appetite",Chickenpox
"burning sensation, rash, flaky patches, itchy skin with redness",Fungal Infection
"frequent urge to urinate, painful urination",UTI
"abdominal cramps, diarrhea, vomiting, dehydration",Gastroenteritis
"nausea, throbbing headache, sensitivity to light",Migraine
"sore throat, nasal congestion, sneezing and runny nose",Common Cold
"nasal congestion, sore throat, sneezing and runny nose",Common Cold
"nausea, throbbing headache, sensitivity to light",Migraine
"sneezing and runny nose, sore throat",Common Cold
"throbbing headache, nausea",Migraine
"itchy skin with redness, rash, burning sensation",Fungal Infection
"nausea, visual disturbances, sensitivity to light, throbbing headache",Migraine
"burning sensation, itchy skin with redness, rash, flaky patches",Fungal Infection
"abdominal cramps, diarrhea, dehydration",Gastroenteritis
"body aches, sweating, high fever with chills",Malaria
"heartburn after meals, chest pain",GERD
"nasal congestion, runny nose",Allergy
"visual disturbances, sensitivity to light",Migraine
"headache, weakness and fatigue",Typhoid
"itchy blister rash, fever and tiredness",Chickenpox
"acid reflux, heartburn after meals, chest pain",GERD
"body aches, sweating, high fever with chills, nausea",Malaria
"rash, itchy skin with redness",Fungal Infection
"runny nose, nasal congestion, sneezing and itchy eyes, skin hives",Allergy
"cough, sore throat, nasal congestion, sneezing and runny nose",Common Cold
"body aches, high fever with chills, sweating",Malaria
"weakness and fatigue, loss of appetite",Typhoid
"rash, burning sensation",Fungal Infection
"sore throat, nasal congestion, cough",Common Cold
"cough, nasal congestion",Common Cold
"nasal congestion, skin hives, sneezing and itchy eyes, runny nose",Allergy
"runny nose, skin hives",Allergy
"lower abdominal pain, painful urination, cloudy urine",UTI
"loss of appetite, fever for 3 days, weakness and fatigue, headache",Typhoid
"sore throat, cough, sneezing and runny nose",Common Cold
"sensitivity to light, throbbing headache, nausea, visual disturbances",Migraine
"visual disturbances, throbbing headache",Migraine
"burning sensation, itchy skin with redness, flaky patches",Fungal Infection
"loss of appetite, fever and tiredness",Chickenpox
"body aches, nausea, high fever with chills, sweating",Malaria
"cough, sneezing and runny nose, sore throat, nasal congestion",Common Cold
"visual disturbances, sensitivity to light, nausea, throbbing headache",Migraine
"skin hives, runny nose",Allergy
"throbbing headache, sensitivity to light",Migraine
"abdominal cramps, dehydration, diarrhea",Gastroenteritis
"nausea, high fever with chills, sweating, body aches",Malaria
"chest pain, difficulty swallowing, heartburn after meals, acid reflux",GERD
"cloudy urine, painful urination, lower abdominal pain, frequent urge to urinate",UTI
"diarrhea, vomiting, dehydration",Gastroenteritis
"nausea, body aches",Malaria
"frequent urge to urinate, lower abdominal pain, painful urination",UTI
"diarrhea, dehydration, abdominal cramps",Gastroenteritis
"nasal congestion, runny nose, sneezing and itchy eyes",Allergy
"difficulty swallowing, acid reflux, chest pain",GERD
"sore throat, sneezing and runny nose, cough, nasal congestion",Common Cold
"throbbing headache, sensitivity to light, visual disturbances, nausea",Migraine
"painful urination, lower abdominal pain, frequent urge to urinate",UTI
"diarrhea, vomiting, dehydration, abdominal cramps",Gastroenteritis
"frequent urge to urinate, cloudy urine, lower abdominal pain, painful urination",UTI
"burning sensation, flaky patches",Fungal Infection
"sore throat, nasal congestion, sneezing and runny nose, cough",Common Cold
"nausea, body aches, sweating, high fever with chills",Malaria
"acid reflux, heartburn after meals, difficulty swallowing, chest pain",GERD
"chest pain, difficulty swallowing",GERD
"sensitivity to light, nausea",Migraine
"throbbing headache, nausea, visual disturbances",Migraine
"heartburn after meals, chest pain, acid reflux",GERD
"high fever with chills, sweating, body aches",Malaria
"sneezing and runny nose, sore throat, nasal congestion, cough",Common Cold
"nausea, body aches, sweating, high fever with chills",Malaria
"runny nose, sneezing and itchy eyes",Allergy
"runny nose, skin hives",Allergy
"acid reflux, chest pain, heartburn after meals, difficulty swallowing",GERD
"headache, itchy blister rash, fever and tiredness, loss of appetite",Chickenpox
"nausea, body aches",Malaria
"fever and tiredness, loss of appetite",Chickenpox
"headache, fever for 2 days, weakness and fatigue, loss of appetite",Typhoid
"acid reflux, difficulty swallowing",GERD
"loss of appetite, fever and tiredness, headache",Chickenpox
"chest pain, acid reflux, heartburn after meals",GERD
"body aches, high fever with chills, sweating, nausea",Malaria
"fever and tiredness, loss of appetite, headache, itchy blister rash",Chickenpox
"runny nose, nasal congestion, skin hives, sneezing and itchy eyes",Allergy
